date,isu,acr,ivol1m
07-01-1955,0.00744056,0.036224769,0.065391458
08-01-1955,-0.021489198,-0.017643416,-0.010666536
09-01-1955,0.000860557,0.00362991,0.042147295
10-01-1955,-0.005885811,-0.004762196,0.015556791
11-01-1955,-0.023671492,-0.017548718,0.016338198
12-01-1955,0.01010225,-0.012897096,-0.003421838
01-01-1956,0.006538188,0.002853173,0.014003437
02-01-1956,-0.013461771,-0.000484946,-0.014877619
03-01-1956,-0.022937999,-0.049408219,0.014957719
04-01-1956,-0.017247257,-0.023875597,-0.001366738
05-01-1956,0.016570413,0.013512809,0.015030883
06-01-1956,-0.003200924,0.003435395,-0.001100105
07-01-1956,0.001811394,-0.008870502,-0.008754825
08-01-1956,-0.013688815,0.025242428,0.003427918
09-01-1956,-0.017333418,0.02199393,0.011039002
10-01-1956,-0.009966182,-0.013857811,0.003733973
11-01-1956,0.006529739,-0.015820777,-0.009853944
12-01-1956,6.37E-05,-0.022747072,0.019927282
01-01-1957,0.035704767,0.000428381,-0.032898692
02-01-1957,0.015420618,-0.001722162,0.025944018
03-01-1957,-0.006080836,-0.024598412,-0.002090202
04-01-1957,-0.01082761,0.000705893,0.020921199
05-01-1957,0.005672668,-0.030054459,0.005416948
06-01-1957,0.001814217,-0.008032498,-0.011435218
07-01-1957,-0.005180283,0.006928825,0.015582558
08-01-1957,0.004400762,0.029331481,0.042510171
09-01-1957,0.006555161,0.036373499,0.019257474
10-01-1957,0.012816422,0.001235372,0.06584727
11-01-1957,0.023300794,0.016194636,-0.046085724
12-01-1957,0.027564103,0.050883861,0.067165484
01-01-1958,-0.025311531,0.013902553,-0.049017933
02-01-1958,0.001947366,0.035284422,0.021583851
03-01-1958,-0.011832068,-0.006733091,-0.014797952
04-01-1958,-0.017536592,-0.000567502,0.017879757
05-01-1958,-0.000928798,0.000542021,-0.021535002
06-01-1958,-0.005435471,-0.009179974,0.010331925
07-01-1958,-0.012851843,-0.026373847,-0.006527292
08-01-1958,0.000256413,-0.00723601,-0.006409219
09-01-1958,-0.013829321,0.020764667,-0.029054588
10-01-1958,0.009573838,-0.009042526,-0.018690602
11-01-1958,-0.005784254,-0.002489927,-0.027650681
12-01-1958,0.029426247,0.034615391,0.035851736
01-01-1959,-0.00499706,0.020243373,-0.003383558
02-01-1959,0.019689971,0.024915727,-0.024995621
03-01-1959,-0.004688432,-0.011116346,-0.015723091
04-01-1959,0.008400134,0.015357359,-0.02339032
05-01-1959,0.010530653,-0.010427776,0.015231514
