date,Mkt-RF,SMB,HML,RMW,CMA,MOM,STR,BAB,QMJ,RF
196307,-0.39,-0.46,-0.81,0.72,-1.16,0.99,-0.04,0.81,0.47,0.27
196308,5.07,-0.81,1.65,0.42,-0.4,1.08,1.36,-1.22,-0.63,0.25
196309,-1.57,-0.48,0.19,-0.8,0.23,0.13,1.2,1.07,0.61,0.27
196310,2.53,-1.29,-0.09,2.75,-2.26,3.14,-0.66,-1.88,2.08,0.29
196311,-0.85,-0.85,1.71,-0.34,2.22,-0.75,1.15,-0.52,-0.88,0.27
196312,1.83,-1.87,-0.1,0.18,-0.31,1.7,0.25,0.01,0.41,0.29
196401,2.24,0.09,1.61,0.21,1.51,1.06,-0.38,0.61,0.59,0.3
196402,1.54,0.3,2.82,0.04,0.87,0.25,0.19,-0.5,-0.4,0.26
196403,1.41,1.42,3.34,-2,2.95,0.72,0.34,-0.19,-0.97,0.31
196404,0.1,-1.5,-0.53,-1.4,-1.1,-0.6,3.35,2.53,0.81,0.29
196405,1.42,-0.68,1.96,-0.28,0.24,2.54,-1.31,0.52,0.09,0.26
196406,1.27,0.08,0.68,-0.36,0.13,0.47,0.51,0.79,-0.36,0.3
196407,1.74,0.47,0.7,0.02,1.91,-0.32,1.81,2.16,0.52,0.3
196408,-1.44,0.31,0.09,-0.09,0.35,-0.2,-1.08,0.94,-0.64,0.28
196409,2.69,-0.31,1.64,-0.36,0.59,-0.38,1.23,-1.84,0.25,0.28
196410,0.59,0.91,1.15,-0.18,0.45,0.13,1.21,0.62,-0.64,0.29
196411,0,-0.27,-1.99,0.62,-0.17,1.1,-0.76,1.99,0.27,0.29
196412,0.03,-0.56,-2.55,1.27,-1.65,-0.71,0.78,-0.03,0.73,0.31
196501,3.54,2.48,0.19,0.75,0.15,-1.3,2.93,0.06,-1,0.28
196502,0.44,3.3,0.19,0.26,-0.67,0.28,-0.55,-0.09,-0.76,0.3
196503,-1.34,2.01,1.07,-0.33,0.74,0.09,1.44,-0.47,-0.43,0.36
196504,3.11,1.19,0.7,0.34,-2.3,2.54,0.45,-0.44,-0.93,0.31
196505,-0.77,0.04,-1.61,-0.46,0.74,0.53,0.18,-0.01,-0.36,0.31
196506,-5.51,-4.31,0.58,0.13,0.44,-3.13,0.4,0.08,0.97,0.35
196507,1.43,1.05,2.17,-1.43,0,4.09,2.55,-0.96,-0.63,0.31
196508,2.73,2.74,-1.04,1.9,-0.72,2.57,-1.36,-1.94,-0.67,0.33
196509,2.86,0.62,-0.14,-1.07,0.84,3.32,-1.38,-1.26,-0.06,0.31
196510,2.6,3.43,1.5,1.24,-0.73,3.44,-1.22,-1.74,-0.15,0.31
196511,-0.03,5.21,0.2,-1.08,-0.89,4.41,-2.27,-2.06,-1.29,0.35
